id,publisher,title,link,publish_details,content
0,CNBC,"Barclays sees dollar strength persisting into early 2024, anticipates rupee weakness ahead",https://www.cnbctv18.com/economy/barclays-sees-dollar-strength-persisting-into-early-2024-anticipates-rupee-weakness-ahead-18340401.htm,"Nov 16, 2023 8:00 PM","The currency markets are currently undergoing significant changes, particularly with the US dollar's impact on emerging market currencies. Mitul Kotecha, Head of FX and EM Macro Strategy Asia at Barclays, in an exclusive interview with CNBC-TV18, provided his insights on this dynamic landscape.

Share Market Live NSE

Kotecha anticipates that the dollar will maintain its strength in the coming months, particularly into the first quarter. However, he expects a moderation in the dollar's performance later next year. This shift could pressure emerging markets and Asian currencies, including the Indian rupee , which is currently rangebound but may weaken in the next year, potentially reaching around 83.8 against the dollar.

""Our view is that ultimately the rupee could see a weaker footing as we go into the next year potentially around 83.8 before we see some downward move in dollar rupee,"" he explained.

The rupee demonstrated resilience in morning trade on Wednesday, November 15, appreciating 32 paise to 83.01 against the US dollar. This rise followed the US dollar's retreat from its high levels after US inflation data came in lower than expected. Forex traders noted that the rupee's bullish start was due to the weakening of the US dollar post the inflation data, reaching its highest level in nearly two months.

On November 13, the rupee touched an all-time low of 83.33 against the dollar.

Amit Pabari, MD of CR Forex Advisors, observed that the rupee is currently trading at nearly a two-month high around 83.00 levels. He cautioned that a breach below 82.95 could lead to further downside, with levels of 82.80 and 82.50 becoming crucial in the sessions to come.

In the broader economic context, the dollar index showed a marginal uptick of 0.02% to 104.07, following a recent high of 105.77 on Monday (November 13).

As global economic dynamics continue to evolve, the currency markets remain sensitive to key indicators, with the dollar's strength and the rupee's performance drawing attention from investors and analysts alike. The coming weeks are likely to witness fluctuations in these currencies, influenced by factors such as inflation trends, oil prices, and broader market sentiments.

Samiran Chakraborty, Chief India Economist at Citibank, indicated that inflation in India could hover within the range of 5.6-5.9%.

“There is not really a big respite over the next two months. We think that the next two prints could be in the range of 5.6% to 5.9% -- pretty close to the 6% mark and that is why it is difficult for the Reserve Bank of India (RBI) to immediately move into some sort of an easing mindset -- probably wait for a more sustained drop towards 4% mark, observe that and then only consider some easing which we think is not before the middle of next year,” he said.

As inflation remains a critical factor influencing economic decisions, the forecasted range offers a glimpse into the challenges and opportunities that may shape India's economic landscape in the coming months.

For more, watch the accompanying video"
1,CNBC,"Listed PSBs, public sector Insurance companies have $480-billion market cap: DIPAM secretary",https://www.cnbctv18.com/business/dipam-secretary-psb-disinvestment-ipo-capam-2023-18341391.htm,"Nov 16, 2023 6:44 PM","Secretary of the Department of Investment and Public Asset Management (DIPAM) Tuhin Kanta Pandey on Thursday (November 16) said listed public sector banks (PSBs) and public sector insurance companies have a $480-billion market capitalisation. He made this reference at the 20th edition of FICCI’s flagship annual Capital Markets Conference — CAPAM 2023.

Share Market Live NSE

He added that while there are 12 parent banks in the PSB segment, the public sector insurance sector has seven parent companies. Pandey went on to add that the country has 389 central public sector enterprises (CPSEs), of which 58 are listed, with a market capitalisation of $280 billion.

Seventeen PSUs have been listed since 2017.

As per Pandey, the disinvestment policy is widely misunderstood and therefore needs to be seen in a wider perspective.

""If an enterprise is healthy and kicking, and its wealth is shared through minority stake, that’s disinvestment too, while the government holds majority stake, which is an investment of taxpayer money,"" he said

""Disinvestment and dividend are contrarian in nature but fiscally need to be put together and see money coming in,"" he added.

Pandey has long reiterated that his department strikes a fine balance between disinvestment strategy and a consistent dividend policy. ""DIPAM handles both disinvestment as well as dividend. In many cases, they are interlinked, and the government is dependent on both for fiscal receipts,"" he said at an interview to Business Today earlier.

""If we look at our disinvestment policy, it has got two pillars. The first pillar of disinvestment is minority stake sale, which includes IPO, FPO, OFS and buybacks. In an IPO, we take an unlisted company to the market with the intent to not only raise receipts but also to improve corporate governance and accountability. The other pillar, which was opened in 2016 after a long period, is privatisation, which is a much deeper reform. From 2014, we have got about ₹4.17 lakh crore in a matter of nine years as disinvestment receipts,"" he added."
2,CNBC,Two Japanese banks set to start operations in GIFT City: IFSCA Chairman,https://www.cnbctv18.com/economy/two-japanese-banks-set-to-start-operations-in-gift-city-ifsca-chairman-18340671.htm,"Nov 16, 2023 4:51 PM","Two more Japanese banks are set to join 10 foreign and 16 local banks in the tax-free GIFT City, where more than 550 businesses with assets worth $47 billion have registered and begun operations, an official said.

Share Market Live NSE

This marks a significant expansion of the GIFT City's financial sector, which is expected to play a key role in India's economic growth, International Financial Services Centres Authority (IFSCA) chairman K Rajaraman said in Singapore.

""We also want Indian origin funds and businesses that are located in tax-free jurisdictions to return home and be part of the growing GIFT City hub,"" said Rajaraman, giving this update on the Ahmedabad-based city free trade zone, where ease of doing business procedures, processes and laws have become a benchmark for international standards.

IFSCA is the regulatory body for the Indian special economic zones such as the GIFT City.

Rajaraman said his recent delegation to Tokyo has resulted in two Japanese banks registering in the GIFT City, and more are expected as he continued discussions with potential businesses at the Singapore Fintech Festival being held 15-17 November 2023.

""We are at the Singapore Fintech Festival to promote the advantages of being in Tax-Free GIFT City,"" he underlined.

He informed that 78 fund managers with 88 alternative investment funds, 82 funds with a corpus of $90 billion, as well as five insurance companies and two stock exchanges GIFT CITY Nifty of National Stock Exchange and a bullion exchange are already part of the business community that the Indian government wants to establish and be part of the global financial network.

""We believe a lot of India-focus business will certainly work out of GIFT City and a lot of fast growth is seen,"" he said, pointing out that 122 aircraft assets have been leased out tax-free city.

""We have three electronic trading platforms international trade finance solutions for bill factoring while there are insurance companies with international joint venture partners,"" said Rajaraman.

The Singapore Fintech Festival had 650 companies from across the world."
3,CNBC,Govt may present 'concise Eco Survey' before FY25 Interim Budget: Report,https://www.cnbctv18.com/economy/govt-may-present-concise-eco-survey-before-fy25-interim-budget-report-18339631.htm,"Nov 16, 2023 3:23 PM","In a break from tradition, the Finance Ministry is looking to present a ‘concise’ document detailing the state of the Indian economy similar to an Economic Survey ahead of the interim budget on February 1, a government official said. Typically, before a general election, the Centre presents the Survey only when the full annual financial statement is tabled around June-July.

Share Market Live NSE

“This won’t be a full-fledged Economic Survey , but it will be a short document, similar to a survey. It will not be seen as big as what will be presented around June-July, but it will likely include the key indicators and forecasts such as GDP growth, nominal GDP growth target, oil prices, among others, but it won’t be a deep dive on the economy,” the official, who spoke on condition of anonymity, told Moneycontrol.

The ministry is currently discussing ways to package this document articulating India’s economic performance in 2023-24, the official added.

According to this official, the ministry is yet to decide “how to package the document, but since we keep working all year around, we can take a call on how to package it later before presenting it in January. Once we take a view, we can quickly package it.”

The Economic Survey, which is tabled every year a day before the full Union Budget, is typically presented on January 31 of each year. The flagship report is prepared by the Economics Division of the Department of Economic Affairs (DEA) under the guidance of the Chief Economic Advisers (CEA), who is currently V Anantha Nageswaran. The survey is considered to be a report card of the economy and is used by CEAs to articulate key reform ideas.

The Economic Survey that usually contains two volumes had in 2022 reverted to a single volume as the earlier format was way too “unwieldy”, the then Principal Economic Advisor Sanjeev Sanyal had said on January 31, 2022.

The Survey for 2023 projected real GDP growth for the current fiscal in the range of 6-6.8 percent, ""depending on the trajectory of economic and political developments globally""."
4,CNBC,"India slashes windfall tax on crude petroleum to ₹6,300 per tonne",https://www.cnbctv18.com/economy/india-slashes-windfall-tax-on-crude-petroleum-tax-on-diesel-halved-atf-petrol-18336731.htm,"Nov 16, 2023 12:38 PM","The Indian government on Thursday, November 16 announced that it has slashed the windfall tax levied on crude petroleum produced in the country. According to an official notification, the Special Additional Excise Duty or SAED, has been reduced to ₹ 6,300 per tonne from ₹ 9,800 per tonne.

Share Market Live NSE

SAED levied on the export of diesel was halved to ₹ 1 per litre from ₹ 2 per litre. Tax on jet fuel or Aviation Turbine Fuel (ATF) remained nil. SAED on export of petrol also continues to be zero.

The new tax rates will come into effect from today, i.e. November 16. India first introduced windfall profit taxes in July 2022. At that time, export duties of ₹ 6 per litre each were levied on petrol and ATF and ₹ 13 per litre on diesel.

A windfall tax is levied on domestic crude oil if rates of the global benchmark rise above $75 per barrel. Export of diesel, ATF and petrol attract the levy if product cracks (or margins) — the difference between crude oil (raw material) and finished petroleum products — rise above $20 per barrel.

The tax rates are reviewed every fortnight based on average oil prices in the previous two weeks."
5,CNBC,US Senate votes overwhelmingly to avert US government shutdown,https://www.cnbctv18.com/world/us-senate-passes-stopgap-to-prevent-shutdown-sends-president-joe-biden-sign-18335421.htm,"Nov 16, 2023 10:11 AM","The US Senate overwhelmingly approved a temporary funding measure to avert a government shutdown, delaying a partisan clash over federal spending until the new year and leaving out emergency aid to allies Ukraine and Israel.

The 87-11 vote late Wednesday night sends the measure, already passed by the House, to President Joe Biden. He is expected to sign it before the shutdown deadline late Friday night.

The outcome provides a temporary reprieve from a bitter ideological struggle over spending that already this year has brought the US close to a debt default, provoked Fitch Ratings to downgrade the nation’s sovereign credit rating, and cost former House Speaker Kevin McCarthy his job.

The measure “accomplishes two things that I and other Democrats have been insistent on for weeks: it will avoid a government shutdown, and it will do so without any of the cruel cuts or poison pills that the hard right pushed for,” Senate Majority Leader Chuck Schumer said on the Senate floor.

The new House speaker, Mike Johnson, who proposed the interim funding package, faces scathing criticism just three weeks into the job from some hardline conservatives because he didn’t meet their demands for immediate deep spending cuts or changes to immigration policies. Ninety-three House Republicans voted against their leader on the measure.

Tempers flared in the Capitol as the stopgap bill progressed, with one hardline conservative making an accusation of bullying on Tuesday after McCarthy bumped into him in a crowded hallway.

Illustrating the stakes of the turmoil, Moody’s Investors Service on Friday lowered the US’s credit-rating outlook to negative from stable. Moody’s cited increasing risks to the country’s fiscal strength and specifically pointed to political polarization in Congress.

The short-term funding bill that the Senate approved allows both parties to regroup over the Thanksgiving holiday while talks continue on a border security compromise and broader spending deals.

The measure funds some parts of the government through Jan. 19 and others through Feb. 2. Johnson said this week this is the last time he would support a short-term funding measure.

The risk of a partial government shutdown in January is heightened because the agencies singled out in the first funding lapse wouldn’t trigger some of the most politically sensitive consequences, such as cutting off pay for military personnel and closing national parks. Those agencies would not lose funding until February.

At the same time, divisions among Republicans have repeatedly stymied efforts to pass the 12 full-year spending measures that ordinarily fund the government and were due Oct. 1. House Republicans on Wednesday again failed to agree on one of those annual measures, for federal law enforcement agencies, causing Johnson to send lawmakers home early for the holiday recess.

Ukraine Outlook

The White House has requested more than $61 billion in additional assistance for Ukraine as part of a nearly $106 billion overall package that also includes funding for Israel, operations on the US-Mexico border and aid for Taiwan.

Hardliners are against fresh Ukraine aid. Johnson opposed the first tranche of Ukraine war aid in May 2022 but has said he now sees the assistance as a priority.

However, Johnson and many Republican senators are insisting on tying money for Ukraine to Republican demands on border security. Such immigration changes, including making it harder for migrants to seek asylum in the US, will be difficult to negotiate between the parties, though bipartisan talks are underway in the Senate.

Schumer said Wednesday that Democrats would negotiate on the border in good faith in the coming weeks, but insisted a compromise would have to be reached with both parties giving something.

Senate Republican leader Mitch McConnell, however, said Democrats didn’t yet seem willing to make the kinds of policy changes needed to slow the flow of migrants into the country."
6,CNBC,JPMorgan has a new way to gauge its green progress,https://www.cnbctv18.com/environment/jpmorgan-has-a-new-way-to-gauge-its-green-progress-18334761.htm,"Nov 16, 2023 7:47 AM","The world’s leading fossil fuel financier has come up with a new way to assess how well it’s supporting a low-carbon transition.

JPMorgan Chase & Co. is changing how it calculates greenhouse gas emissions that flow from the funding it provides oil and gas companies. The Wall Street giant run by Chief Executive Officer Jamie Dimon said it’s adding its financing of zero-carbon power generation to the calculus.

“A singular focus on fossil fuels won’t successfully achieve the necessary transition of the global energy system,” the bank wrote in its annual climate report. “Supporting the rapid build-out of zero-carbon power” will “help replace fossil fuels and reduce emissions.”

As the largest energy banker, JPMorgan is a frequent target of criticism over Wall Street’s role in the climate crisis. At the same time, the bank is a leading US arranger of green bonds, making it vulnerable to Republicans seeking to protect the fossil fuel industry.

The bank has said it doesn’t seek to play favorites with either side of the climate aisle. The energy transition requires $4 trillion of annual investment, Dimon said in the report, which brings with it “the potential to generate a wave of growth and opportunity the world hasn’t seen since the first industrial revolution.”

On Wednesday, JPMorgan said its oil and gas clients’ Scope 1 and 2 emissions—much of which stems from methane leaks and flaring—will stand apart from their Scope 3 emissions, or end-use of client products. Scope 3 emissions account for as much as 95% of the total carbon emissions from oil and gas companies, according to a recent report from Wood Mackenzie.

Under JPMorgan’s new plan for calculating its green progress, financed Scope 3 emissions will be combined with the “zero-carbon power generation activity” it also funds, such as solar, wind and hydropower as well as nuclear. The bank is calling this an “energy mix target,” saying that its new goal is to reduce carbon intensity of its energy-mix financing portfolio by 36% (using a 2019 baseline) by 2030. The energy mix target, the bank said, is intended to “reflect the reality that we also need to prioritize a significant build-out of clean energy sources.”

Like most of its peers, JPMorgan has set interim decarbonization targets for the most carbon-intensive areas of its balance sheet, including oil and gas. While loans to fossil fuel companies make up just 3% of JPMorgan’s $1.15 trillion lending portfolio, Scope 3 emissions from those companies are by far the biggest contributor to the bank’s financed emissions, generating five times more greenhouse gas pollution than the next heaviest-emitting sector.

Also Read | COP28: UN report reveals nations falling short on Paris Agreement and climate change goals

BloombergNEF has warned that by 2030, banks must be lending four times as much to clean-energy concerns as they do to fossil fuel companies if the planet is to avoid the worst of the climate crisis. With six years to go, the average ratio is currently closer to 1-to-1. JPMorgan came in at 0.7 as of 2021.

“The expectation that the financial services sector is going to solve the climate crisis on its own is a little out of step with reality,” said Heather Zichal, the bank’s global head of sustainability. “As much as we might provide financing to the oil and gas sector, we also are a huge force in green finance.”

Ramaswamy Variankaval, JPMorgan’s global head of corporate advisory and sustainable solutions, said the bank’s new methodology “aligns us better with both the underlying scenario and also the on-the-ground reality.” In practice, it means the bank could record a decrease in its financed emissions target without cutting back on the amount of money it funnels to the oil and gas industry, though Variankaval said he expects that—as the bank provides more capital to clean energy projects—it will ultimately “substitute the higher carbon intensity sources of energy.”

A spokesperson for the Center for Climate and Energy Solutions said “the key is to invest in the clean technologies without increasing investment in traditional fossil fuels. You want the denominator to include a growing amount of clean energy and a shrinking amount of fossil fuels—and that shift needs to be transparent over several years.”

JPMorgan also disclosed several other updates in its climate report, including decarbonization goals for two new sectors: shipping and aluminum. The bank now has net-zero financing goals for eight of the most-pollutive industries.

The New York-based bank said all of its new and existing targets will be aligned with the International Energy Agency’s Net Zero Emissions by 2050 scenario. Earlier goals were set to the IEA’s Sustainable Development Scenario, which aims to achieve net zero emissions by 2070.

JPMorgan also published absolute financed-emissions numbers for the first time. The bank focuses on measuring carbon intensity, or the amount of carbon produced per unit of output. Critics have said using intensity targets alone can be problematic, as emissions intensity can decrease even as a bank’s absolute emissions increase.

Zichal said intensity measurements remain “the most decision-useful metric” and that adding absolute numbers allows JPMorgan to provide stakeholders with “an additional layer of transparency.”

The bank published absolute emissions in line with the methodology recommended by the Partnership for Carbon Accounting Financials (PCAF), a widely used industry standard. It also offered numbers using its own process that the bank says seeks to avoid volatility that has skewed emissions data for other banks that use the PCAF framework. JPMorgan’s PCAF-based absolute financed emissions for its energy mix portfolio, which includes oil and gas sector Scope 3, totals 35.6 million tons of CO2 equivalent, while under its own methodology the number is more than three times bigger at 128.3 million tons at the end of last year.

Unlike PCAF, JPMorgan’s own calculations use a three-year average for company value and a 12-month monthly average for committed financing. The bank also counts the entirety of revolving credit facilities, whether they’ve been drawn down or not.

“JPMorgan has committed that capital, so the client can draw anytime they want to,” Variankaval said. “So we think it would be inaccurate not to include it in our absolute financed emissions calculations.”

A group of banks assembled by PCAF to devise the first industry standards for calculating the carbon footprints of capital-markets activities have struggled to agree on the best approach. JPMorgan calculated the emissions from its capital markets activities and includes 100% of its share in bond underwritings. In 2022, the bank recorded 51.2 million tons of CO2e from its capital markets financing for oil and gas."
7,CNBC,IMF team reaches staff level agreement with Pakistani authorities,https://www.cnbctv18.com/economy/imf-chief-kristalina-georgieva-sees-agreement-on-pakistan-debt-review-18329911.htm,"Nov 15, 2023 11:01 PM","International Monetary Fund (IMF) said on Wednesday, November 15, that a team led by Nathan Porter has reached a staff-level agreement (SLA) with the Pakistani authorities. The team visited Islamabad to hold discussions on the first review of Pakistan’s economic program supported by an IMF Stand-By Arrangement (SBA).

Share Market Live NSE

“The IMF team has reached a staff-level agreement (SLA) with the Pakistani authorities on the first review of their stabilization program supported by the IMF’s US$3 billion (SDR2,250 million) SBA. The agreement is subject to approval of the IMF’s Executive Board. Upon approval around US$700 million (SDR 528 million) will become available bringing total disbursements under the program to almost US$1.9 billion,"" it said in a press release.

Earlier, IMF Managing Director Kristalina Georgieva said she expects a deal on a debt review with Pakistan to come soon, a development that could unlock more funds for the South Asian nation.

“I expect an agreement of the review to come within this week,” Georgieva told Bloomberg Television’s Haslinda Amin in an interview in Singapore on Wednesday. The Pakistani authorities, especially the finance minister “deserve credit for a very difficult time sticking to the program that they have,” she said.

An IMF team is currently in Pakistan for a scheduled review of its loan agreement signed in July , ahead of the release of an instalment of about $700 million. Reaching a deal on the review would improve Pakistan’s access to other credit.

In a wide-ranging interview, Georgieva painted a bleak picture of economic hardship across the world, spurred by higher interest rates, a failure to fully recover from the pandemic and conflicts in Europe and the Middle East. She warned that if the Israel-Hamas war persists, it could have “dramatic consequences.”

Georgieva said the economies of Gaza, the West Bank and Israel have been devastated. She pointed out that 8% of Israel’s labour force is now in the army while tourism in neighbouring countries such as Lebanon, Egypt and Jordan has drastically dropped.

“The world is on edge,” she said. “If there is an impact on oil prices, what we did in fighting inflation is going to be partially lost and that can be a big problem.”

The fund last month lifted its global inflation forecast for next year to almost 6% and called for central banks to keep policy tight until there’s a durable easing in price pressures.

“At this point, we are not projecting recession. However, we are in a world of exceptional uncertainty,” Georgieva added. “Anything we can do to bring this uncertainty down is going to be healthy for the world economy.”

Georgieva said she isn’t worried about a global debt crisis but reiterated that low- and middle-income countries were vulnerable to rising borrowing costs.

Also Read:Pakistani fisherman becomes millionaire overnight after selling rare fish"
8,CNBC,UK government meets pledge to halve inflation this year as rate falls to 2-year low of 4.6%,https://www.cnbctv18.com/economy/uk-government-meets-pledge-to-halve-inflation-this-year-as-rate-falls-to-2-year-low-18330901.htm,"Nov 15, 2023 5:54 PM","Inflation in the UK dropped sharply in October to its lowest level in two years, largely because last year’s steep rise in domestic energy bills following Russia's invasion of Ukraine dropped out of the annual comparison, official figures showed Wednesday.

Share Market Live NSE

The Office for National Statistics said consumer prices in the year to October were 4.6% higher than the year before, much lower than the 6.7% recorded in the previous month.

The decline means Prime Minister Rishi Sunak's pledge to halve inflation this year has been met. Sunak made the pledge soon after becoming prime minister when inflation was more than 10%.

“I did that because it is, without a doubt, the best way to ease the cost of living and give families financial security,” he said. ""Today, we have delivered on that pledge.”

Meeting the pledge — one of five set out by Sunak on taking office — will provide some comfort to his Conservative government, which is trailing the main opposition Labour Party in opinion polls ahead of a general election that has to take place by January 2025.

Labour's economic spokesperson Rachel Reeves said the government should not be “popping champagne corks” while people are still struggling with the cost of living.

“After 13 years of economic failure under the Conservatives, working people are worse off with higher mortgage bills, prices still rising in the shops and inflation twice as high as the Bank of England’s target,” she said.

Though the government has a role in containing inflation by, for example, keeping a lid on public sector pay awards, the main reason why inflation has fallen is due to actions by the Bank of England, which is tasked with meeting a target inflation rate of 2%.

Earlier this month, the bank kept its main interest rate unchanged at the 15-year high of 5.25% and indicated that borrowing costs will likely remain at these sort of elevated levels for a while.

The Bank of England, like other central banks, raised interest rates aggressively from near zero as it sought to counter price rises first stoked by supply chain issues during the coronavirus pandemic and then Russia’s full-scale invasion of Ukraine, which pushed up food and energy costs.

Higher interest rates — which cool the economy by making it more expensive to borrow, thereby bearing down on spending — have contributed to bringing down inflation worldwide.

Economists said the decline means that the bank's rate-setting Monetary Policy Committee is very unlikely to be increasing interest rates again in the near future. They also think that if inflation continues to fall towards 2%, then one or more of the nine-member panel may start mulling reductions in borrowing rates soon.

“This fall in inflation seals the deal on a December interest rate hold and may drive a three-way voting split among rate setters with a member voting for a rate cut as concerns over a flatlining economy grow,"" said Suren Thiru, economics director at the Institute of Chartered Accountants in England and Wales."
9,CNBC,"Worst is behind: Morgan Stanley’s Chetan Ahya says US bond yield has peaked, sees 4.2% on 10-year soon",https://www.cnbctv18.com/economy/worst-is-behind-morgan-stanleys-chetan-ahya-says-us-bond-yield-has-peaked-sees-42-on-10-year-soon-18329211.htm,"Nov 15, 2023 4:19 PM","India's economic outlook appears increasingly promising, according to Chetan Ahya, Chief Economist at Morgan Stanley . Speaking on CNBC-TV18, Ahya highlighted a key development in the global financial landscape: the peaking of the US 10-year bond yield, which is expected to positively impact India.

Share Market Live NSE

He anticipates a decline in the US 10-year bond yield to 4.2% by the second quarter of 2025 and at 3.95% by the end of next year.

Ahya remains optimistic about India's growth trajectory, projecting a robust 6.4% growth next year. This forecast positions India as a major contributor to global growth, accounting for an impressive 17% in the financial year 2024. Such a significant contribution underscores India's growing influence on the world stage.

“India will still continue to be the best domestic demand alpha opportunity within the region and we are expecting growth to be at 6.4% next year, in the 2024 calendar year,” he said.

The export sector in India is also expected to see a modestly positive trend moving forward. However, Ahya pointed out that the real driving force behind India's growth story is its strong domestic demand, which is likely to continue fueling the economy.

“India's story has been driven by more domestic demand and that story still continues and there is nothing that should hold back India’s growth rate,” he said.

Also Read | US inflation broadly slows, erasing bets on more Fed rate hikes

Also Read | China’s economic activity mixed as Beijing steps up support

Ahya observed stability in China's energy demand, a factor that plays a crucial role in the global economic environment. He also highlighted the improvement in corporate profitability in India, which has been instrumental in reviving the country's investment-to-GDP ratio.

For more, watch the accompanying video"
