id,publisher,title,link,publish_details,content
0,The Hindu,Why increasing AC coaches and reducing Sleeper and Second ...,https://www.thehindu.com/data/why-increasing-ac-coaches-and-reducing-sleeper-and-second-class-a-problem-for-commuters-data/article67562053.ece,,
1,The Hindu,Wilhelmsen Ship Management expands India office by adding two ...,https://www.thehindu.com/business/wilhelmsen-ship-management-expands-india-office-by-adding-two-new-functions-to-hire-more/article67566454.ece,,
2,The Hindu,Union Minister Giriraj Singh asks Bihar CM Nitish to ban 'halal ...,https://www.thehindu.com/news/national/other-states/union-minister-giriraj-singh-asks-bihar-cm-nitish-to-ban-halal-products-in-state/article67565055.ece,,
3,The Hindu,A sari collection on Indian goddesses with a side of martial arts - The ...,https://www.thehindu.com/life-and-style/fashion/a-sari-collection-on-indian-goddesses-with-a-side-of-martial-arts/article67557342.ece,,
4,The Hindu,Govindan accuses Governor of orchestrating a Sangh Parivar-UDF ...,https://www.thehindu.com/news/national/kerala/govindan-accuses-governor-of-orchestrating-a-sangh-parivar-udf-tie-up-to-control-state-universities/article67565495.ece,,
5,The Hindu,"India growing faster owing to structural and bold reforms, says ...",https://www.thehindu.com/news/cities/Coimbatore/india-growing-faster-owing-to-structural-and-bold-reforms-says-governor-rn-ravi/article67566368.ece,,
6,The Hindu,Chinese Premier Li calls for practical steps to implement consensus ...,https://www.thehindu.com/news/international/chinese-premier-li-calls-for-practical-steps-to-implement-consensus-reached-at-new-delhi-summit-of-g20/article67564901.ece,,
7,The Hindu,"ISRO invites scientists, engineers and academia for capacity ...",https://www.thehindu.com/news/national/karnataka/isro-invites-scientists-engineers-and-academia-for-capacity-building-in-space-based-disaster-management-support/article67565561.ece,,
8,The Hindu,How Bengaluru band Savaari's anthem resonated with Team India's ...,https://www.thehindu.com/entertainment/music/bangalore-savaari-music-band-cricket-world-cup/article67563318.ece,,
9,The Hindu,End the secrecy: The Hindu Editorial on the actions of Indian ...,https://www.thehindu.com/opinion/editorial/end-the-secrecy-the-hindu-editorial-on-the-actions-of-indian-agencies-abroad/article67567225.ece,,
10,The Hindu,Why increasing AC coaches and reducing Sleeper and Second ...,https://www.thehindu.com/data/why-increasing-ac-coaches-and-reducing-sleeper-and-second-class-a-problem-for-commuters-data/article67562053.ece,,
11,The Hindu,Wilhelmsen Ship Management expands India office by adding two ...,https://www.thehindu.com/business/wilhelmsen-ship-management-expands-india-office-by-adding-two-new-functions-to-hire-more/article67566454.ece,,
12,The Hindu,Union Minister Giriraj Singh asks Bihar CM Nitish to ban 'halal ...,https://www.thehindu.com/news/national/other-states/union-minister-giriraj-singh-asks-bihar-cm-nitish-to-ban-halal-products-in-state/article67565055.ece,,
13,The Hindu,A sari collection on Indian goddesses with a side of martial arts - The ...,https://www.thehindu.com/life-and-style/fashion/a-sari-collection-on-indian-goddesses-with-a-side-of-martial-arts/article67557342.ece,,
14,The Hindu,Govindan accuses Governor of orchestrating a Sangh Parivar-UDF ...,https://www.thehindu.com/news/national/kerala/govindan-accuses-governor-of-orchestrating-a-sangh-parivar-udf-tie-up-to-control-state-universities/article67565495.ece,,
15,The Hindu,"India growing faster owing to structural and bold reforms, says ...",https://www.thehindu.com/news/cities/Coimbatore/india-growing-faster-owing-to-structural-and-bold-reforms-says-governor-rn-ravi/article67566368.ece,,
16,The Hindu,Chinese Premier Li calls for practical steps to implement consensus ...,https://www.thehindu.com/news/international/chinese-premier-li-calls-for-practical-steps-to-implement-consensus-reached-at-new-delhi-summit-of-g20/article67564901.ece,,
17,The Hindu,"ISRO invites scientists, engineers and academia for capacity ...",https://www.thehindu.com/news/national/karnataka/isro-invites-scientists-engineers-and-academia-for-capacity-building-in-space-based-disaster-management-support/article67565561.ece,,
18,The Hindu,How Bengaluru band Savaari's anthem resonated with Team India's ...,https://www.thehindu.com/entertainment/music/bangalore-savaari-music-band-cricket-world-cup/article67563318.ece,,
19,The Hindu,End the secrecy: The Hindu Editorial on the actions of Indian ...,https://www.thehindu.com/opinion/editorial/end-the-secrecy-the-hindu-editorial-on-the-actions-of-indian-agencies-abroad/article67567225.ece,,
20,The Hindu,Why increasing AC coaches and reducing Sleeper and Second ...,https://www.thehindu.com/data/why-increasing-ac-coaches-and-reducing-sleeper-and-second-class-a-problem-for-commuters-data/article67562053.ece,,
21,The Hindu,Wilhelmsen Ship Management expands India office by adding two ...,https://www.thehindu.com/business/wilhelmsen-ship-management-expands-india-office-by-adding-two-new-functions-to-hire-more/article67566454.ece,,
22,The Hindu,Union Minister Giriraj Singh asks Bihar CM Nitish to ban 'halal ...,https://www.thehindu.com/news/national/other-states/union-minister-giriraj-singh-asks-bihar-cm-nitish-to-ban-halal-products-in-state/article67565055.ece,,
23,The Hindu,A sari collection on Indian goddesses with a side of martial arts - The ...,https://www.thehindu.com/life-and-style/fashion/a-sari-collection-on-indian-goddesses-with-a-side-of-martial-arts/article67557342.ece,,
24,The Hindu,Govindan accuses Governor of orchestrating a Sangh Parivar-UDF ...,https://www.thehindu.com/news/national/kerala/govindan-accuses-governor-of-orchestrating-a-sangh-parivar-udf-tie-up-to-control-state-universities/article67565495.ece,,
25,The Hindu,"India growing faster owing to structural and bold reforms, says ...",https://www.thehindu.com/news/cities/Coimbatore/india-growing-faster-owing-to-structural-and-bold-reforms-says-governor-rn-ravi/article67566368.ece,,
