id,publisher,title,link,publish_details,content
1,TOI,"Putin may join virtual g20 meet, no word yet on China representative
TNN / Nov 19, 2023, 06:14 (IST)
India will host a virtual g20 Summit on November 22 to discuss the effective implementation of decisions made at the New Delhi summit. Leaders from g20 members, the African Union, guest countries, and international organizations have been invited. The summit is expected to address issues such as the Russia-Ukraine war and the Israel-Hamas conflict. It is unclear who will represent Russia and China at the summit, as both leaders skipped the in-person summit in September. The virtual summit will build on the outcomes of the New Delhi summit and review developments since then.",https://timesofindia.indiatimes.com/india/putin-may-join-virtual-g20-meet-no-word-yet-on-china-representative/articleshow/105322473.cms,"TNN / Nov 19, 2023, 06:14 (IST)",
2,TOI,"2nd Global South meet to focus on sharing key g20 outcomes
TNN / Nov 16, 2023, 04:01 (IST)",https://timesofindia.indiatimes.com/india/2nd-global-south-meet-to-focus-on-sharing-key-g20-outcomes/articleshow/105245044.cms,"TNN / Nov 16, 2023, 04:01 (IST)",
3,TOI,"PM Modi to chair virtual g20 Leaders' Summit on Nov 22, building on New Delhi Declaration
ANI / Nov 18, 2023, 21:47 (IST)
As announced by Prime Minister Narendra Modi during the closing session of the New Delhi g20 Summit, India would be hosting a virtual g20 Leaders' Summit prior to the conclusion of India's g20 Presidency on November 22. PM Modi made this announcement on September 10 during the closing ceremony of the Summit that ""India would be hosting a virtual Leaders' Summit prior to the conclusion of India's Presidency,"" the Ministry of External Affairs said in an official statement.",https://timesofindia.indiatimes.com/india/pm-modi-to-chair-virtual-g20-leaders-summit-on-nov-22-building-on-new-delhi-declaration/articleshow/105318546.cms,"ANI / Nov 18, 2023, 21:47 (IST)",
4,TOI,"RSS chief Mohan Bhagwat highlights India's g20 presidency at 'Vijayadashmi Utsav' event
ANI / Oct 24, 2023, 11:21 (IST)
The RSS chief pointed out that India's leadership gave the country a place in the world. ""Every year, India's pride is increasing in the world. The g20 summit held here (in India) was special. The hospitality of Indians was praised. People from different countries experienced our diversity. They saw our diplomatic skills as well as our honest goodwill. Our leadership gave India a place in the world,"" Mohan Bhagwat said while speaking at the event.",https://timesofindia.indiatimes.com/india/rss-chief-mohan-bhagwat-highlights-indias-g20-presidency-at-vijayadashmi-utsav-event/articleshow/104665400.cms,"ANI / Oct 24, 2023, 11:21 (IST)",
5,TOI,"Jaishankar asks Canada to provide proof substantiating its Nijjar accusations
TIMESOFINDIA.COM / Nov 16, 2023, 01:02 (IST)
External affairs minister, S Jaishankar, has stated that the Indian government is open to investigating the killing of Khalistani terrorist Hardeep Singh Nijjar, but has asked the Canadian government to provide evidence to support its claim that Indian agents were involved. Jaishankar emphasised that Canada has not shared any evidence with India thus far. He also highlighted the pro-Khalistani activities in Canada and the attacks on the Indian High Commission, stating that freedom of speech should not be misused for political purposes.",https://timesofindia.indiatimes.com/india/jaishankar-asks-canada-to-provide-evidence-backing-its-nijjar-murder-claim/articleshow/105243271.cms,"TIMESOFINDIA.COM / Nov 16, 2023, 01:02 (IST)","NEW DELHI: External affairs minister S Jaishankar on Wednesday said the Indian government is not ruling out a probe linked to the killing of Khalistani terrorist Hardeep Singh Nijjar and asked the Canadian government to provide evidence backing its claim that Indian agents were involved in Nijjar's assassination.
Jaishankar's statement comes nearly two months after the Trudeau government expelled a top Indian diplomat from Canada over the alleged involvement of the Indian government in the killing of Khalistani extremist and Tiger Force chief Nijjar.
TOP PICKS FOR YOU
'No shame in losing to a better team': Sunil Gavaskar rallies behind Team India
New office for RPO by early 2024 in Vijayawada

""If you have a reason to make such an allegation please share the evidence because we are not ruling out an investigation…,"" Jaishankar said in UK.
Jaishankar emphasised that Canada has not shared any evidence with India to support its allegation.
Powered By
Play
Unmute
:
Fullscreen
India-Canada diplomatic row: Indian High Commission asks Canada to produce evidence in Nijjar’s killing

In reference to the pro-Khalistani activities in Canada, Jaishankar said that freedom of speech and freedom of expression ""comes with a certain responsibility and the misuse of those freedoms and the toleration of that misuse for political purposes would be very wrong"".
The external affairs minister also recalled the attacks on the High Commission of India in Canada, or smoke bomb attacks on the High Commission and Consulate General, and said Indian diplomats were ""intimidated in public, with no action from the Canadian authorities against culprits"".

Following the expulsion of the Indian official in September, the Indian government, in a tit-for-tat move, ordered a senior Canadian diplomat to leave the country within five days, saying the decision reflected growing concern over the interference by Canadian diplomats in India’s internal affairs and their anti-India activities.
India had earlier rejected Trudeau's allegations as ""absurd"" and ""motivated"".
India-Canada ties have remained frosty for several years over widespread Khalistan extremism in Canada but the diplomatic ties hit all-time low after Trudeau government alleged India of foreign interference and links of the Indian government in killing of Khalistani extremist Hardeep Singh Nijjar.
Jaishankar is currently on a 5-day visit to UK review various aspects of bilateral ties and give ""new impetus to the friendly ties"".
(With agency inputs)
WATCH
EAM S Jaishankar asks Canada to share evidence substantiating its Hardeep Singh Nijjar accusations"
6,TOI,"2nd Voice of Global South meet on Friday
TNN / Nov 15, 2023, 03:56 (IST)",https://timesofindia.indiatimes.com/india/2nd-voice-of-global-south-meet-on-friday/articleshow/105218961.cms,"TNN / Nov 15, 2023, 03:56 (IST)",
7,TOI,"COP28 president-designate praises India for its energy transition vision
PTI / Nov 13, 2023, 05:41 (IST)
Dr Sultan Al Jaber, the CO president-designate, praised India for its energy transition vision and called for a ""new paradigm"" in climate finance to ensure global south countries adopt low carbon development. He highlighted India's commitment to multilateralism and the global goal of tripling renewable energy capacity by 2030. He also stressed the need for rebuilding trust between north and south and fulfilling promises such as the USD 100 billion pledge and doubling adaptation finance.",https://timesofindia.indiatimes.com/india/cop28-president-designate-praises-india-for-its-energy-transition-vision/articleshow/105172469.cms,"PTI / Nov 13, 2023, 05:41 (IST)",
8,TOI,"'Policy sync key for strong growth'
TNN / Nov 07, 2023, 07:04 (IST)
Finance Minister Nirmala Sitharaman emphasized the importance of policy coordination at both the global and domestic levels to ensure sustainable and inclusive growth. The g20 New Delhi Leaders' Declaration highlights the need for well-calibrated macroeconomic and structural policies to promote equitable growth and financial stability. The declaration focuses on trade, the future of work, and financial inclusion as key drivers of growth.",https://timesofindia.indiatimes.com/business/policy-sync-key-for-strong-growth/articleshow/105024564.cms,"TNN / Nov 07, 2023, 07:04 (IST)","New Delhi: Policy coordination, both global as well as domestic, is critical to ensure that growth comes back on track and remains strong, sustainable, balanced, and inclusive, finance minister Nirmala Sitharaman said on Monday.
Sitharaman said the G20 New Delhi Leaders' Declaration underscores the urgency of implementing well-calibrated macroeconomic and structural policies to bolster equitable growth and enhance macroeconomic and financial stability.
TOP PICKS FOR YOU
'No shame in losing to a better team': Sunil Gavaskar rallies behind Team India
New office for RPO by early 2024 in Vijayawada

""Under the theme of strong, sustainable, balanced and inclusive growth, the declaration focuses on trade, the future of work and financial inclusion. All three are pivotal for stimulating growth,"" the FM said, while inaugurating the webinar on strong, sustainable, balanced and inclusive growth.
ADVERTISEMENT

She said since the pandemic, the global economy has been grappling with multiple crises, adversely affecting global growth. ""While the recovery is underway, it remains slow and uneven. The current pace of global growth remains quite weak, well below the 3.8% average in the two decades before the pandemic and looking ahead over the medium term, growth prospects have weakened further.""
Powered By
Play
Unmute
:
Fullscreen
She said G20 New Delhi Leaders Declaration (NDLD), unanimously agreed to by all G20 countries, addresses some of the pressing challenges confronting the global economy and also provides policy guidance for a future, built on people-focused principles and trust-based partnerships."
9,TOI,"Indian consumers are now demanding high-quality goods and services: Piyush Goyal
ANI / Nov 03, 2023, 22:47 (IST)
Indian consumers are increasingly demanding high-quality goods and services, according to Union Minister for Consumer Affairs, Piyush Goyal. He stated that the government is providing assistance and time for producers to meet new quality standards and establish India as a provider of high-quality products. Goyal emphasized the importance of harmonizing standards with international bodies to adopt globally accepted standards. He also highlighted the need to create a robust framework through regular engagements like the Standards Dialogue.",https://timesofindia.indiatimes.com/business/india-business/indian-consumers-are-now-demanding-high-quality-goods-and-services-piyush-goyal/articleshow/104951086.cms,"ANI / Nov 03, 2023, 22:47 (IST)","NEW DELHI: Union Minister for Consumer Affairs Piyush Goyal has said that Indian consumers are now demanding high-quality goods and services and to ensure that, the government is giving help and reasonable time to producers to adapt to new quality standards and ensure that India becomes recognised as a provider of good-quality products.
He was speaking at the concluding session of the 'G20 Standards Dialogue' at Bharat Mandapam in New Delhi on Friday.

Goyal said that it is important to ensure the harmonisation of standards with international bodies to help India adopt standards that are globally accepted. He mentioned that India needs to get out of the mindset of having two standards for everything.
""Our effort is that every product that is made in India will be a high-quality product,"" he said.
Powered By
Play
Unmute
:
Fullscreen
The Union Minister said that if consumers pick up a product in India they should be assured of high quality.
""Developed nations have a lot to share in this regard, and therefore, a robust framework should be created through regular engagements like G20 Standards Dialogue for the countries that need it,"" Goyal said.
He said that in the next few years, India will upgrade it's standard ecosystem, like test labs and hopefully have mutual recognition agreements with other countries as well so that quality is achieved for a better and more prosperous future for Mother Earth and every citizen of the world.

Goyal said that the theme of the dialogue, 'Zero Defect, Zero Effect' was articulated by Hon'ble Prime Minister Narendra Modi about 9 years ago.
He said that the Prime Minister is an evangelist for sustainability and has been at the forefront of creating awareness within the country and internationally about the need for collective action. He said that it's his vision that sustainability becomes an inclusive paradigm.
Goyal stressed that even the common man recognises the importance of sustainable growth and every citizen recognises that growth will have to be inclusive so that no one is left behind. He said that the United Nations Sustainable Development Goals are also the core elements of the roadmap on standards and sustainability.
ADVERTISEMENT

""And I'm sure the goal of zero hunger, the goal of health and wellness, and the goal of a better quality of life for every citizen will be important for all of us to keep in mind when we debate this important subject--affordable clean Energy,"" Goyal said.
The Union Minister said that affordable clean energy is an integral part of sustainable growth where India is looking at recycling, reuse, and overall ensuring how 'waste can be kept to a bare minimum', which is absolutely unavoidable. ""That is the road forward. That is the pathway before us,"" he said, adding on that government desire only to act as a facilitator and not as a disrupter of the processes."
10,TOI,"P20 Summit in New Delhi concludes successfully
ANI / Oct 14, 2023, 14:47 (IST)
The two-day P20 Summit in New Delhi successfully concluded with Lok Sabha Speaker Om Birla expressing gratitude to all the dignitaries for their contribution. The summit included high-level sessions on topics such as Sustainable Development Goals, sustainable energy transition, women-led development, and public digital platforms. India hosted the summit under its Presidency with the theme of Parliaments for One Earth, One Family, One Future.",https://timesofindia.indiatimes.com/india/p20-summit-in-new-delhi-concludes-successfully/articleshow/104421007.cms,"ANI / Oct 14, 2023, 14:47 (IST)",
